abbreviation	bibliographic_description
Смирнов-Сокольский	Смирнов-Сокольский Н. П. Рассказы о прижизненных изданиях Пушкина, о книгах других авторов, им изданных, о его журнале «Современник», о первом посмертном собрании сочинений, а также о всех газетах, журналах, альманахах, сборниках, хрестоматиях и песенниках, в которых печатались произведения поэта в 1814–1837 годах. М.: Изд-во Всесоюзной книжной палаты, 1962.
Смирнова-Россет	Смирнова-Россет А. О. Дневник. Воспоминания. М., 1989 (Сер. «Лит. памятники»).
СО	журнал «Сын отечества».
СО и СА	журнал «Сын отечества и Северный архив».
Совр.	журнал «Современник».
Соревн.	журнал «Соревнователь просвещения и благотворения (Труды Вольного общества любителей российской словесности)».
СПбВед	газета «Санкт-Петербургские ведомости».
СПч.	газета «Северная пчела».
Ст 1826	Пушкин А. Стихотворения. СПб., 1826.
Ст 1829	Пушкин А. Стихотворения. СПб., 1829. Ч. 1–2.
Ст 1832	Пушкин А. Стихотворения. СПб., 1832. Ч. 3.
Степанов. Лирика П.	Степанов Н. Л. Лирика Пушкина. М., 1959.
Степанов. Проза П.	Степанов Н. Л. Проза Пушкина. М., 1962.
Cтих. П. 1820–1830 гг.	Стихотворения Пушкина 1820–1830-х годов: История создания и идейно-художественная проблематика. Л.: Наука, 1974.
СЦ	альманах «Северные цветы».
ТОДРЛ	Труды отдела древнерусской литературы.
Томашевский. П. и Франция	Томашевский Б. В. Пушкин и Франция. Л.: Сов. писатель, 1960.
Томашевский. Пушкин, I	Томашевский Б. Пушкин. Кн. 1: 1813–1824. М.; Л.: Изд-во АН СССР, 1956.
Томашевский. Пушкин, II	Томашевский Б. Пушкин. Кн. 2: Материалы к монографии (1824–1837). М.; Л.: Изд-во АН СССР, 1961.
Томашевский. Строфика П.	Томашевский Б. В. Строфика Пушкина // Пушкин: Исследования и материалы. М.; Л.: Изд-во АН СССР, 1958. Т. 2. С. 49–213.
Тынянов	Тынянов Ю. Н. Пушкин и его современники. М.: Наука, 1968.
Фомичев	Фомичев С. А. Поэзия Пушкина: Творческая эволюция. Л., 1986.
Франц. элегия	Французская элегия XVIII–XIX веков в переводах поэтов пушкинской поры / Сост. В. Э. Вацуро; Вступ. ст. и коммент. В. Э. Вацуро и В. А. Мильчиной. М.: Радуга, 1989.
Худ. лит. в 10 т.	Пушкин А. С. Собр. соч.: В 10 т. М.: Худож. лит., 1974–1978.
Цявловский. Статьи	Цявловский М. А. Статьи о Пушкине. М.: Изд-во АН СССР, 1962.
Шляпкин	Шляпкин И. А. Из неизданных бумаг А. С. Пушкина. СПб., 1903.
Щеголев	Щеголев П. Е. Пушкин: Исследования, статьи и материалы. 3-е изд., провер. и доп. Т. 1: Дуэль и смерть Пушкина. М.; Л.: ГИХЛ, 1928; Т. 2: Из жизни и творчества Пушкина. М.; Л.: ГИХЛ, 1931.
Щукинский сборник	Сборник старинных бумаг, хранящихся в Музее П. И. Щукина. М.: Т-во тип. А. И. Мамонтова, 1896–1902. Вып. 1–10.
Языковский архив	Языковский архив. СПб., 1913. Вып. 1: Письма Н. М. Языкова к родным за дерптский период его жизни (1822–1829).
Якушкин	Якушкин В. Е. Рукописи А. С. Пушкина, хранящиеся в Румянцевском музее в Москве // Русская старина. 1884. № 2–12.
